"Break","Dominant Swell","Dominant Height (m)","Dominant Period (s)","Dominant Direction","Meets Min Period","Avg Period All Swells"
"Tamarack","Primary",0.8,5.1,271,"No",6.97
"Tamarack","Primary",0.78,5.05,271,"No",7.03
"Tamarack","Primary",0.74,4.95,270,"No",6.98
"Tamarack","Primary",0.72,4.9,269,"No",6.9
"Tamarack","Primary",0.68,4.9,268,"No",6.85
"Tamarack","Primary",0.66,5.05,268,"No",6.88
"Tamarack","Primary",0.66,5.35,267,"No",6.98
"Tamarack","Primary",0.64,5.45,267,"No",7.02
"Tamarack","Primary",0.64,5.35,266,"No",6.98
"Tamarack","Primary",0.66,5.1,265,"No",6.88
"Tamarack","Primary",0.66,4.85,264,"No",6.78
"Tamarack","Primary",0.68,4.65,264,"No",6.7
"Tamarack","Primary",0.68,4.4,264,"No",6.62
"Tamarack","Primary",0.7,4.3,264,"No",6.58
"Tamarack","Primary",0.68,4.4,265,"No",6.67
"Tamarack","Primary",0.66,4.55,265,"No",6.78
"Tamarack","Primary",0.64,4.7,266,"No",6.88
"Tamarack","Primary",0.62,4.45,267,"No",6.83
"Tamarack","Primary",0.6,4.2,267,"No",6.75
"Tamarack","Primary",0.58,4.7,268,"No",6.8
"Tamarack","Primary",0.52,6.75,256,"No",7.18
"Tamarack","Primary",0.48,9.55,243,"No",7.72
"Tamarack","Primary",0.42,11.6,231,"No",8.12
"Tamarack","Primary",0.42,12.1,231,"Yes",8.22
"Terramar","Primary",0.8,5.1,271,"No",6.97
"Terramar","Primary",0.78,5.05,271,"No",7.03
"Terramar","Primary",0.74,4.95,270,"No",6.98
"Terramar","Primary",0.72,4.9,269,"No",6.9
"Terramar","Primary",0.68,4.9,268,"No",6.85
"Terramar","Primary",0.66,5.05,268,"No",6.88
"Terramar","Primary",0.66,5.35,267,"No",6.98
"Terramar","Primary",0.64,5.45,267,"No",7.02
"Terramar","Primary",0.64,5.35,266,"No",6.98
"Terramar","Primary",0.66,5.1,265,"No",6.88
"Terramar","Primary",0.66,4.85,264,"No",6.78
"Terramar","Primary",0.68,4.65,264,"No",6.7
"Terramar","Primary",0.68,4.4,264,"No",6.62
"Terramar","Primary",0.7,4.3,264,"No",6.58
"Terramar","Primary",0.68,4.4,265,"No",6.67
"Terramar","Primary",0.66,4.55,265,"No",6.78
"Terramar","Primary",0.64,4.7,266,"No",6.88
"Terramar","Primary",0.62,4.45,267,"No",6.83
"Terramar","Primary",0.6,4.2,267,"No",6.75
"Terramar","Primary",0.58,4.7,268,"No",6.8
"Terramar","Primary",0.52,6.75,256,"No",7.18
"Terramar","Primary",0.48,9.55,243,"No",7.72
"Terramar","Primary",0.42,11.6,231,"No",8.12
"Terramar","Primary",0.42,12.1,231,"Yes",8.22
"Tourmaline","Primary",0.92,5.45,286,"No",5.58
"Tourmaline","Primary",0.86,5.45,291,"No",5.45
"Tourmaline","Primary",0.82,5.25,277,"No",5.45
"Tourmaline","Primary",0.8,5,263,"No",5.52
"Tourmaline","Primary",0.76,4.75,249,"No",5.55
"Tourmaline","Primary",0.76,4.6,254,"No",5.42
"Tourmaline","Primary",0.78,4.55,259,"No",5.25
"Tourmaline","Primary",0.78,4.45,264,"No",5.28
"Tourmaline","Primary",0.78,4.35,264,"No",5.73
"Tourmaline","Primary",0.78,4.3,264,"No",6.38
"Tourmaline","Primary",0.78,4.25,264,"No",6.87
